feature,importance
Rank_Diff,131.6646270751953
Win_Pct_Diff,47.55678939819336
Pts_Diff,25.538246154785156
Surface_Advantage,20.36613655090332
Best_of,14.719293594360352
Rank_2,12.843573570251465
P2_Losses,12.458044052124023
Rank_1,12.065251350402832
Court_Advantage,10.896071434020996
P1_Losses,10.641066551208496
P1_Win_Pct,9.553091049194336
P2_Win_Pct,8.63654613494873
P1_Wins,8.589221954345703
P2_WinPct_Clay,8.486551284790039
Surface_Encoded,8.419136047363281
Series_Encoded,8.41856861114502
P1_WinPct_Hard,8.276091575622559
P2_Wins,8.2036771774292
Series_Advantage,8.180991172790527
P2_WinPct_Hard,8.06925106048584
P2_WinPct_Grand_Slam,7.994569301605225
P2_WinPct_Carpet,7.929848670959473
Experience_Diff,7.756283760070801
P1_WinPct_Clay,7.7199835777282715
P1_WinPct_Grass,7.670176982879639
Pts_2,7.6173248291015625
P1_WinPct_Carpet,7.581637382507324
Court_Encoded,7.547143459320068
P1_WinPct_Masters_1000,7.493954181671143
Tournament_Encoded,7.407334804534912
P2_WinPct_Grass,7.383136749267578
P2_WinPct_ATP250,7.281913757324219
P1_Total_Matches,7.264414310455322
P1_WinPct_Grand_Slam,7.191921710968018
P2_WinPct_Masters_1000,7.169500827789307
P2_WinPct_Outdoor,7.062976360321045
P2_WinPct_ATP500,7.005085468292236
Pts_1,6.916934013366699
P1_WinPct_Outdoor,6.88881254196167
P1_WinPct_ATP250,6.867685794830322
P2_Total_Matches,6.856752395629883
P2_WinPct_Indoor,6.852906703948975
P1_WinPct_Indoor,6.820407390594482
P1_WinPct_ATP500,6.683988094329834
Round_Encoded,6.0338568687438965
